
learning rate:0.0001
batch_size:8
epoch:10
Epoch:[   1] [   0/ 400], accuracy:[0.37500000]
Epoch:[   1] [   1/ 400], accuracy:[0.37500000]
Epoch:[   1] [   2/ 400], accuracy:[0.25000000]
Epoch:[   1] [   3/ 400], accuracy:[0.37500000]
Epoch:[   1] [   4/ 400], accuracy:[0.00000000]
Epoch:[   1] [   5/ 400], accuracy:[0.12500000]
Epoch:[   1] [   6/ 400], accuracy:[0.37500000]
Epoch:[   1] [   7/ 400], accuracy:[0.25000000]
Epoch:[   1] [   8/ 400], accuracy:[0.00000000]
Epoch:[   1] [   9/ 400], accuracy:[0.37500000]
Epoch:[   1] [  10/ 400], accuracy:[0.25000000]
Epoch:[   1] [  11/ 400], accuracy:[0.00000000]
Epoch:[   1] [  12/ 400], accuracy:[0.50000000]
Epoch:[   1] [  13/ 400], accuracy:[0.00000000]
Epoch:[   1] [  14/ 400], accuracy:[0.25000000]
Epoch:[   1] [  15/ 400], accuracy:[0.25000000]
Epoch:[   1] [  16/ 400], accuracy:[0.25000000]
Epoch:[   1] [  17/ 400], accuracy:[0.12500000]
Epoch:[   1] [  18/ 400], accuracy:[0.37500000]
Epoch:[   1] [  19/ 400], accuracy:[0.50000000]
Epoch:[   1] [  20/ 400], accuracy:[0.25000000]
Epoch:[   1] [  21/ 400], accuracy:[0.25000000]
Epoch:[   1] [  22/ 400], accuracy:[0.25000000]
Epoch:[   1] [  23/ 400], accuracy:[0.00000000]
Epoch:[   1] [  24/ 400], accuracy:[0.12500000]
Epoch:[   1] [  25/ 400], accuracy:[0.12500000]
Epoch:[   1] [  26/ 400], accuracy:[0.00000000]
Epoch:[   1] [  27/ 400], accuracy:[0.37500000]
Epoch:[   1] [  28/ 400], accuracy:[0.00000000]
Epoch:[   1] [  29/ 400], accuracy:[0.25000000]
Epoch:[   1] [  30/ 400], accuracy:[0.12500000]
Epoch:[   1] [  31/ 400], accuracy:[0.37500000]
Epoch:[   1] [  32/ 400], accuracy:[0.25000000]
Epoch:[   1] [  33/ 400], accuracy:[0.12500000]
Epoch:[   1] [  34/ 400], accuracy:[0.37500000]
Epoch:[   1] [  35/ 400], accuracy:[0.00000000]
Epoch:[   1] [  36/ 400], accuracy:[0.12500000]
Epoch:[   1] [  37/ 400], accuracy:[0.12500000]
Epoch:[   1] [  38/ 400], accuracy:[0.12500000]
Epoch:[   1] [  39/ 400], accuracy:[0.00000000]
Epoch:[   1] [  40/ 400], accuracy:[0.37500000]
Epoch:[   1] [  41/ 400], accuracy:[0.25000000]
Epoch:[   1] [  42/ 400], accuracy:[0.25000000]
Epoch:[   1] [  43/ 400], accuracy:[0.00000000]
Epoch:[   1] [  44/ 400], accuracy:[0.00000000]
Epoch:[   1] [  45/ 400], accuracy:[0.25000000]
Epoch:[   1] [  46/ 400], accuracy:[0.12500000]
Epoch:[   1] [  47/ 400], accuracy:[0.00000000]
Epoch:[   1] [  48/ 400], accuracy:[0.00000000]
Epoch:[   1] [  49/ 400], accuracy:[0.25000000]
Epoch:[   1] [  50/ 400], accuracy:[0.37500000]
Epoch:[   1] [  51/ 400], accuracy:[0.00000000]
Epoch:[   1] [  52/ 400], accuracy:[0.12500000]
Epoch:[   1] [  53/ 400], accuracy:[0.12500000]
Epoch:[   1] [  54/ 400], accuracy:[0.25000000]
Epoch:[   1] [  55/ 400], accuracy:[0.00000000]
Epoch:[   1] [  56/ 400], accuracy:[0.25000000]
Epoch:[   1] [  57/ 400], accuracy:[0.12500000]
Epoch:[   1] [  58/ 400], accuracy:[0.25000000]
Epoch:[   1] [  59/ 400], accuracy:[0.25000000]
Epoch:[   1] [  60/ 400], accuracy:[0.50000000]
Epoch:[   1] [  61/ 400], accuracy:[0.25000000]
Epoch:[   1] [  62/ 400], accuracy:[0.00000000]
Epoch:[   1] [  63/ 400], accuracy:[0.00000000]
Epoch:[   1] [  64/ 400], accuracy:[0.00000000]
Epoch:[   1] [  65/ 400], accuracy:[0.25000000]
Epoch:[   1] [  66/ 400], accuracy:[0.25000000]
Epoch:[   1] [  67/ 400], accuracy:[0.12500000]
Epoch:[   1] [  68/ 400], accuracy:[0.00000000]
Epoch:[   1] [  69/ 400], accuracy:[0.12500000]
Epoch:[   1] [  70/ 400], accuracy:[0.12500000]
Epoch:[   1] [  71/ 400], accuracy:[0.37500000]
Epoch:[   1] [  72/ 400], accuracy:[0.00000000]
Epoch:[   1] [  73/ 400], accuracy:[0.12500000]
Epoch:[   1] [  74/ 400], accuracy:[0.25000000]
Epoch:[   1] [  75/ 400], accuracy:[0.12500000]
Epoch:[   1] [  76/ 400], accuracy:[0.25000000]
Epoch:[   1] [  77/ 400], accuracy:[0.00000000]
Epoch:[   1] [  78/ 400], accuracy:[0.25000000]
Epoch:[   1] [  79/ 400], accuracy:[0.25000000]
Epoch:[   1] [  80/ 400], accuracy:[0.12500000]
Epoch:[   1] [  81/ 400], accuracy:[0.25000000]
Epoch:[   1] [  82/ 400], accuracy:[0.12500000]
Epoch:[   1] [  83/ 400], accuracy:[0.12500000]
Epoch:[   1] [  84/ 400], accuracy:[0.25000000]
Epoch:[   1] [  85/ 400], accuracy:[0.00000000]
Epoch:[   1] [  86/ 400], accuracy:[0.25000000]
Epoch:[   1] [  87/ 400], accuracy:[0.50000000]
Epoch:[   1] [  88/ 400], accuracy:[0.12500000]
Epoch:[   1] [  89/ 400], accuracy:[0.25000000]
Epoch:[   1] [  90/ 400], accuracy:[0.37500000]
Epoch:[   1] [  91/ 400], accuracy:[0.37500000]
Epoch:[   1] [  92/ 400], accuracy:[0.37500000]
Epoch:[   1] [  93/ 400], accuracy:[0.12500000]
Epoch:[   1] [  94/ 400], accuracy:[0.12500000]
Epoch:[   1] [  95/ 400], accuracy:[0.00000000]
Epoch:[   1] [  96/ 400], accuracy:[0.37500000]
Epoch:[   1] [  97/ 400], accuracy:[0.25000000]
Epoch:[   1] [  98/ 400], accuracy:[0.12500000]
Epoch:[   1] [  99/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 100/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 101/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 102/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 103/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 104/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 105/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 106/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 107/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 108/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 109/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 110/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 111/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 112/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 113/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 114/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 115/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 116/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 117/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 118/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 119/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 120/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 121/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 122/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 123/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 124/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 125/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 126/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 127/ 400], accuracy:[0.50000000]
Epoch:[   1] [ 128/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 129/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 130/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 131/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 132/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 133/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 134/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 135/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 136/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 137/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 138/ 400], accuracy:[0.62500000]
Epoch:[   1] [ 139/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 140/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 141/ 400], accuracy:[0.00000000]
Epoch:[   1] [ 142/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 143/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 144/ 400], accuracy:[0.25000000]
Epoch:[   1] [ 145/ 400], accuracy:[0.37500000]
Epoch:[   1] [ 146/ 400], accuracy:[0.12500000]
Epoch:[   1] [ 147/ 400], accuracy:[0.25000000]
